#{"t_start": 1765252472.6392884, "env_id": "None"}
r,l,t
82.4,177,25.905474
78.2,219,26.028094
85.1,150,26.113613
99.0,11,26.120607
92.9,72,26.16112
92.0,81,26.20912
91.5,86,26.257636
95.4,47,26.287629
94.6,55,26.319143
96.5,36,26.339096
97.4,27,26.356599
88.7,114,26.4186
77.1,230,26.547874
92.5,76,26.594391
87.3,128,26.661897
67.5,326,26.84541
92.0,81,26.889916
95.5,46,26.922916
92.3,78,26.967937
68.2,319,27.149382
81.2,189,27.255431
93.1,70,27.302796
88.1,120,27.373114
96.1,40,27.399269
61.3,388,27.623463
30.4,697,28.006488
86.9,132,28.075996
55.8,443,28.327791
56.0,441,28.595987
81.0,191,28.711496
70.5,296,28.866104
56.4,437,29.112683
78.7,214,29.236191
80.7,194,29.344355
80.0,201,29.457373
92.2,79,29.502372
45.5,546,29.80891
78.5,216,29.938425
90.7,94,29.99209
66.2,339,30.178105
93.2,69,30.217105
84.4,157,30.311074
96.7,34,30.332008
91.0,91,30.381541
81.6,185,30.488104
86.7,134,30.570612
96.0,41,30.594655
96.2,39,30.615613
98.5,16,30.623613
92.5,76,30.666122
89.1,110,30.72313
86.8,133,30.797385
85.8,143,30.877922
88.2,119,30.951925
52.0,481,31.218615
75.4,247,31.364764
69.1,310,31.537279
87.2,129,31.647316
88.0,121,31.723822
24.7,754,32.178028
77.8,223,32.32105
79.7,204,32.458339
72.4,277,32.638489
86.0,141,32.728821
84.3,158,32.834996
96.0,41,32.868738
53.1,470,33.141483
78.2,219,33.259499
55.0,451,33.528612
71.8,283,33.706207
91.8,83,33.752211
87.0,131,33.825714
82.6,175,33.922225
61.9,382,34.141655
87.9,122,34.209164
91.2,89,34.259676
85.5,146,34.341252
94.9,52,34.374404
74.9,252,34.511944
94.1,60,34.544945
90.9,92,34.597453
83.1,170,34.697965
81.2,189,34.803473
71.8,283,34.960499
81.2,189,35.0665
88.2,119,35.137505
95.9,42,35.162606
72.8,273,35.316139
81.5,186,35.422275
72.9,272,35.569301
77.6,225,35.694813
68.0,321,35.872841
83.3,168,35.96034
88.7,114,36.030526
88.9,112,36.094051
76.0,241,36.232144
93.5,66,36.269654
77.2,229,36.403951
89.6,105,36.462396
89.1,110,36.525394
99.0,11,36.532396
92.8,73,36.580914
19.0,811,37.033761
62.7,374,37.252542
70.4,297,37.422694
88.5,116,37.496258
73.1,270,37.651481
78.9,212,37.776096
92.6,75,37.820486
59.2,409,38.064763
96.5,36,38.083764
87.8,123,38.154775
76.5,236,38.281809
82.3,178,38.391913
95.3,48,38.421913
86.2,139,38.506258
73.9,262,38.658775
92.1,80,38.710283
43.1,570,39.025872
91.4,87,39.075386
85.2,149,39.155389
92.7,74,39.2029
91.3,88,39.252902
73.3,268,39.401211
82.6,175,39.498732
98.7,14,39.511737
90.5,96,39.566249
89.7,104,39.623249
81.3,188,39.72877
94.7,54,39.766869
98.0,21,39.777862
88.7,114,39.840862
97.2,29,39.858867
99.3,8,39.865377
97.8,23,39.878381
89.3,108,39.939376
85.0,151,40.022001
87.9,122,40.096311
66.4,337,40.287344
77.1,230,40.413478
84.2,159,40.501991
97.6,25,40.520992
54.8,453,40.769547
78.3,218,40.889053
88.3,118,40.957063
95.6,45,40.985698
70.3,298,41.156206
84.5,156,41.247718
85.7,144,41.327862
76.2,239,41.457394
-30.1,1302,42.209442
98.0,21,42.221442
79.1,210,42.335223
93.7,64,42.379746
90.3,98,42.434746
84.2,159,42.52428
90.3,98,42.579427
89.6,105,42.639428
90.9,92,42.690935
95.2,49,42.717935
87.7,124,42.782444
94.2,59,42.821442
49.9,502,43.105094
94.2,59,43.139095
80.6,195,43.248604
94.9,52,43.281109
21.3,788,43.732443
86.1,140,43.811911
94.8,53,43.843913
92.5,76,43.890429
82.0,181,43.992666
87.3,128,44.065215
91.4,87,44.113216
77.4,227,44.240192
95.1,50,44.269704
95.3,48,44.295711
90.4,97,44.352293
93.2,69,44.400812
93.4,67,44.43981
91.5,86,44.48933
85.1,150,44.573834
92.9,72,44.619834
70.5,296,44.786858
88.0,121,44.854861
73.4,267,45.004933
86.5,136,45.087444
82.8,173,45.191365
64.3,358,45.390938
-60.8,109,45.452942
92.7,74,45.499463
87.6,125,45.563465
86.5,136,45.640972
50.1,500,45.92146
89.7,104,45.987526
85.5,146,46.070045
86.0,141,46.149245
95.5,46,46.175666
97.1,30,46.198668
95.9,42,46.220666
95.8,43,46.245665
93.5,66,46.282178
93.5,66,46.325783
98.8,13,46.332783
86.7,134,46.409313
90.7,94,46.462322
93.6,65,46.50083
97.9,22,46.51283
88.0,121,46.577349
84.6,155,46.665865
78.2,219,46.792378
78.4,217,46.920887
88.2,119,46.99391
80.0,201,47.113425
99.3,8,47.155425
89.3,108,47.220934
89.6,105,47.280483
93.5,66,47.31963
90.2,99,47.384382
86.1,140,47.466889
88.8,113,47.535889
85.8,143,47.620399
98.5,16,47.635406
91.7,84,47.687239
95.2,49,47.716239
92.6,75,47.758244
87.9,122,47.834766
87.7,124,47.907277
90.8,93,47.96328
86.4,137,48.043366
87.9,122,48.11988
90.1,100,48.179391
92.2,79,48.224387
97.4,27,48.242387
90.2,99,48.306912
89.2,109,48.382354
87.7,124,48.464357
27.3,728,48.906707
94.3,58,48.951702
98.5,16,48.960704
80.3,198,49.077732
96.0,41,49.100729
93.1,70,49.142729
97.1,30,49.160734
86.6,135,49.241237
49.2,509,49.531805
-91.8,419,49.775342
82.1,180,49.877858
76.9,232,50.011011
98.7,14,50.019011
-65.0,1651,50.934677
98.0,21,50.944676
97.9,22,50.95468
88.5,116,51.018422
53.4,467,51.289965
90.7,94,51.344635
-130.7,2308,52.611515
-219.6,3197,54.342648
85.1,150,54.429158
88.2,119,54.496371
98.4,17,54.505368
96.7,34,54.524367
93.0,71,54.567372
87.9,122,54.62888
90.7,94,54.67839
92.8,73,54.719391
97.2,29,54.736394
95.6,45,54.764399
79.0,211,54.881416
85.8,143,54.963418
82.9,172,55.066033
74.5,256,55.205054
95.2,49,55.229053
91.3,88,55.272563
93.9,62,55.312142
91.9,82,55.358143
80.6,195,55.466655
88.2,119,55.535166
85.5,146,55.62269
90.7,94,55.677197
93.0,71,55.710198
92.6,75,55.747197
95.5,46,55.780707
87.1,130,55.850707
93.4,67,55.890217
97.1,30,55.906216
95.9,42,55.933216
93.1,70,55.972726
91.9,82,56.018383
97.2,29,56.034383
83.9,162,56.131907
73.9,262,56.272922
67.2,329,56.460232
75.9,242,56.591265
98.1,20,56.608269
86.8,133,56.684484
88.3,118,56.747483
95.2,49,56.77099
48.6,515,57.067104
77.4,227,57.193128
70.8,293,57.353225
86.2,139,57.423733
85.8,143,57.526241
91.8,83,57.573752
72.9,272,57.726272
99.1,10,57.732273
